Customer ID,Age,Gender,Item Purchased,Category,Purchase Amount (USD),Location,Size,Color,Season,Review Rating,Subscription Status,Shipping Type,Discount Applied,Promo Code Used,Previous Purchases,Payment Method,Frequency of Purchases,Customer Segment,Device Used,Delivery Delay (Days),Customer Satisfaction Comment
60,43,M,,,860,France,XL,Black,Harmattan,3.9,Inactive,Express,FALSE,WELCOME,44,Crypto,,,Tablet,4,Good
61,62,M,,,418,China,,Green,Spring,1.3,,Standard,TRUE,PROMO10,18,Crypto,Medium,Churn Risk,Tablet,14,Late delivery
62,22,,Shoes ,Clothing,495,Germany,m,Red,,2.9,No,Standard,No,NONE,34,Cash,,Returning,mobile,10,Excellent
63,59,F,Laptop,Gadgets,1244,France,XXL,Red,Autumn,2.5,Yes,Pickup,,NONE,22,Transfer,,,Desktop,-1,Excellent
64,23,,Shoes,Clothing,1800,UK,m,Green,Autumn,4.0,Inactive,Pickup,,,40,Cash,Medium,Churn Risk,Desktop,12,
65,62,,Shoes ,Fashion,1547,India,XL,Blue,Summer,3.6,Inactive,Express,TRUE,NONE,3,Transfer,,Churn Risk,mobile,9,Good
66,50,M,Shoes,Electronics,1747,,L,Black,Autumn,4.6,Inactive,Same Day,No,WELCOME,10,Cash,High,Returning,Tablet,-2,Excellent
67,29,F,Bag,Clothing,1597,,m,Black,Winter,3.9,Inactive,,,PROMO10,22,Crypto,High,Churn Risk,Desktop,8,Bad
68,32,F,Headset,Accessories,546,India,S,,Autumn,2.7,Inactive,Express,Yes,NONE,6,Transfer,Medium,,Tablet,12,
69,51,Other,Bag,Accessories,255,UK,XL,Black,Winter,1.7,Active,Same Day,,SALE20,47,Crypto,High,VIP,Mobile,3,Excellent
70,65,M,Shoes ,Accessories,1761,Germany,XL,White,Winter,2.8,,Same Day,FALSE,PROMO10,22,Transfer,,,Desktop,7,
71,55,F,Phone,Clothing,757,,,red,,1.7,Active,Standard,TRUE,SALE20,26,Crypto,High,VIP,,9,Will buy again
72,19,,Bag,Electronics,688,,L,White,Harmattan,1.5,Inactive,Express,FALSE,,2,Crypto,,VIP,Mobile,-2,
73,17,Female,Phone,Clothing,249,UK,,Green,Autumn,1.2,No,Pickup,TRUE,WELCOME,4,Crypto,,VIP,mobile,-2,Late delivery
74,21,Female,Phone,Fashion,1233,Germany,L,Black,Spring,3.2,Active,,TRUE,NONE,38,Crypto,,Returning,,5,Late delivery
75,69,M,Shoes ,Clothing,492,Nigeria,,,Harmattan,3.3,Yes,Same Day,FALSE,PROMO10,1,Crypto,Low,New,Mobile,2,Bad
76,57,Other,shirt,,1771,India,M,,Summer,3.6,Active,Same Day,,,47,Crypto,High,,Desktop,5,
77,19,Other,Watch,Accessories,1953,USA,S,Red,Autumn,4.5,Yes,,Yes,PROMO10,41,Card,Low,Returning,Desktop,7,Excellent
78,69,F,,Accessories,1886,France,S,White,Harmattan,4.7,Inactive,Pickup,TRUE,NONE,31,Crypto,High,,mobile,6,Good
79,44,M,Bag,,40,France,S,,Summer,2.4,No,Express,FALSE,NONE,31,card,,Churn Risk,,10,Bad
80,33,Female,Shirt,Electronics,1127,India,m,White,,3.5,Inactive,,TRUE,PROMO10,9,,High,VIP,Desktop,13,
81,41,,Bag,Gadgets,373,UK,XL,Green,Harmattan,2.8,No,Standard,No,NONE,17,Crypto,Medium,VIP,Desktop,-1,Good
82,59,F,shirt,Accessories,1972,China,XL,red,Harmattan,4.0,,Standard,No,WELCOME,36,card,,,mobile,7,Bad
83,49,,Headset,Accessories,1943,Germany,XXL,White,Harmattan,3.9,,Same Day,FALSE,SALE20,44,Card,Very High,Returning,Tablet,11,
84,25,F,shirt,Gadgets,963,Canada,M,,,1.8,,Express,Yes,PROMO10,3,Transfer,,Returning,Mobile,4,Good
85,51,Male,Watch,Clothing,262,,L,Green,Winter,1.7,Active,Express,FALSE,PROMO10,34,card,Low,,mobile,0,
86,29,,Shoes ,Accessories,505,,L,Red,Autumn,1.5,Inactive,Express,FALSE,,42,Transfer,Very High,New,mobile,6,Excellent
87,46,M,,Electronics,658,USA,L,,Summer,1.5,Yes,Pickup,Yes,SALE20,10,,Medium,Churn Risk,Tablet,1,Excellent
88,63,,shirt,Clothing,724,Nigeria,XXL,,,2.0,Yes,Pickup,FALSE,SALE20,21,Crypto,High,Churn Risk,mobile,5,
89,30,,Bag,Clothing,1653,UK,XXL,Green,Autumn,2.4,No,Standard,FALSE,,18,Crypto,,,Desktop,13,Excellent
90,23,F,Headset,Accessories,1640,China,XL,Black,,3.5,No,,,SALE20,42,card,Low,VIP,Tablet,5,Excellent
91,29,Female,shirt,Clothing,1132,Canada,XXL,White,Harmattan,4.0,Yes,Express,FALSE,SALE20,27,Cash,Medium,New,mobile,3,Will buy again
92,38,Male,Shirt,Clothing,483,Germany,XXL,Blue,Winter,1.6,Yes,Standard,TRUE,WELCOME,0,Card,Medium,VIP,,14,
93,55,,Headset,Electronics,244,Germany,L,Green,Spring,2.0,No,Standard,TRUE,WELCOME,44,card,Medium,VIP,,-2,
94,36,Female,Phone,Clothing,372,USA,m,Red,Harmattan,3.4,Active,Express,,SALE20,17,Card,,New,,3,Late delivery
95,31,Other,Shoes ,,1781,Nigeria,m,Black,Spring,4.0,Active,,TRUE,PROMO10,24,Cash,Low,Churn Risk,,7,
96,60,Male,Laptop,Accessories,1319,China,XXL,Green,Winter,4.3,No,,,WELCOME,43,Card,Low,New,Tablet,2,Late delivery
97,33,Male,Shoes,Accessories,986,Germany,,Black,Winter,2.5,Active,,TRUE,,30,Crypto,High,New,mobile,14,
98,62,F,,,153,USA,,,Spring,2.8,Inactive,Pickup,,PROMO10,48,Card,Medium,Returning,Desktop,2,Excellent
99,68,,Shoes ,,736,India,M,,Winter,3.7,Yes,,FALSE,PROMO10,33,,,Churn Risk,mobile,0,
100,39,Other,Watch,,405,USA,,Red,Spring,2.1,Active,Same Day,Yes,NONE,26,card,Low,New,Tablet,4,Late delivery
101,41,F,Shoes ,Gadgets,1526,France,XXL,,Winter,1.3,,Express,,PROMO10,40,,High,Returning,Mobile,4,
102,40,M,Bag,Fashion,598,,,,Spring,2.8,,Express,TRUE,PROMO10,21,,Very High,New,Mobile,4,Bad
103,60,Female,Shoes ,Gadgets,292,Canada,m,Black,Spring,4.9,No,Standard,Yes,NONE,39,Card,,Returning,Mobile,2,Will buy again
104,56,Female,Shoes ,Electronics,1691,Germany,m,,,2.5,,Standard,TRUE,SALE20,39,Transfer,High,New,,9,
105,44,F,Shoes,Electronics,138,Nigeria,S,,Autumn,2.2,No,Express,FALSE,SALE20,12,Transfer,,New,Desktop,8,Good
106,30,Female,Laptop,Accessories,1825,Nigeria,XXL,Red,Winter,4.3,Active,,FALSE,,18,Transfer,High,Churn Risk,mobile,10,
107,60,,Headset,Fashion,1859,,XL,White,Autumn,4.7,,,,WELCOME,24,card,,VIP,mobile,11,
108,16,Female,Shoes,Gadgets,1482,Germany,M,Black,Autumn,4.1,Yes,Standard,,NONE,34,Cash,,Returning,Tablet,2,Late delivery
109,40,,Bag,Fashion,229,UK,XXL,Blue,Spring,3.1,No,Same Day,Yes,SALE20,20,card,Medium,Churn Risk,Tablet,11,Will buy again
110,22,M,Bag,Accessories,641,USA,XL,Blue,Harmattan,4.6,,Same Day,No,NONE,1,Card,,Churn Risk,mobile,6,Good
111,24,Other,Watch,Clothing,612,India,m,Blue,,3.4,,Standard,TRUE,WELCOME,15,Card,Medium,Returning,Mobile,12,Good
112,39,Male,Phone,Accessories,853,Canada,M,Green,,2.2,Active,Same Day,TRUE,PROMO10,20,Crypto,Medium,,Desktop,9,Will buy again
113,16,F,Headset,Accessories,904,UK,XXL,White,Spring,4.7,No,Same Day,No,NONE,18,,Medium,New,Tablet,10,Bad
114,59,F,Bag,Fashion,1780,USA,,White,Winter,3.6,Yes,Standard,No,SALE20,21,Cash,,New,Mobile,6,Bad
115,23,,Shoes,Electronics,830,Canada,M,Red,Spring,1.5,Yes,Express,No,WELCOME,1,Cash,Very High,VIP,Tablet,1,
116,39,M,Bag,Clothing,1955,,m,Red,Summer,2.3,Inactive,Standard,TRUE,PROMO10,22,Crypto,Very High,Churn Risk,Desktop,1,Excellent
117,26,M,Shoes ,Clothing,922,India,m,Green,Winter,3.6,,,Yes,NONE,19,Card,High,Returning,Tablet,6,
118,66,Male,Phone,Electronics,415,Nigeria,S,,Harmattan,4.3,No,Pickup,Yes,NONE,23,card,Medium,Churn Risk,mobile,3,
119,32,Other,Bag,Fashion,378,UK,L,red,Summer,5.0,Inactive,Same Day,FALSE,WELCOME,26,card,Medium,Churn Risk,,8,
120,23,F,Shoes ,Fashion,89,Germany,XXL,red,Spring,1.8,Yes,Standard,TRUE,WELCOME,9,card,Very High,VIP,mobile,13,
121,50,,Watch,Electronics,88,India,M,Black,Spring,4.2,Yes,Standard,,,16,,High,Churn Risk,,13,
122,50,M,Bag,Gadgets,486,Germany,XL,Green,Harmattan,1.5,No,Standard,TRUE,PROMO10,1,Transfer,High,Churn Risk,Desktop,5,Excellent
123,48,F,Phone,Fashion,1371,,S,,Spring,3.7,Yes,Pickup,,NONE,37,Cash,Very High,Returning,Tablet,-1,Late delivery
124,20,,Shoes,Electronics,276,India,L,Blue,Harmattan,1.4,No,Same Day,TRUE,,30,,High,,Tablet,14,Bad
125,57,Female,Watch,Gadgets,10,Nigeria,XL,White,Summer,3.2,Active,,FALSE,,36,Card,Medium,New,mobile,11,Excellent
126,54,F,shirt,Accessories,1492,France,S,Red,Harmattan,3.1,Inactive,Express,TRUE,,29,,Medium,New,,4,Good
127,56,Other,Headset,Clothing,523,USA,XXL,,Harmattan,4.6,No,,TRUE,SALE20,16,Crypto,High,Churn Risk,,14,
128,43,,Shoes ,Electronics,18,France,XL,red,Winter,3.1,Inactive,Standard,No,,36,Crypto,Very High,VIP,,9,Excellent
129,22,Other,Watch,Fashion,1031,UK,,red,,3.9,,Standard,,PROMO10,20,,High,Churn Risk,Mobile,-1,Will buy again
130,24,F,Phone,Clothing,1765,USA,M,Red,Autumn,4.5,,,Yes,PROMO10,18,Crypto,High,,Tablet,0,Excellent
131,23,Female,Watch,Gadgets,821,UK,m,White,Winter,1.6,Yes,Express,No,,44,Card,Medium,,,2,
132,27,Other,Headset,Clothing,1832,Canada,S,red,Autumn,1.5,No,Standard,FALSE,WELCOME,23,Crypto,Medium,Returning,Mobile,14,Late delivery
133,49,M,shirt,,491,Nigeria,S,Blue,Summer,1.5,Active,,Yes,,17,Transfer,,,Mobile,14,Bad
134,48,,Shoes ,Electronics,801,Canada,XXL,,Summer,2.3,Yes,Standard,TRUE,SALE20,9,Crypto,High,Churn Risk,Tablet,8,Bad
135,63,F,Phone,Accessories,1416,France,S,Blue,Spring,2.6,No,,Yes,,2,Transfer,Medium,,Mobile,4,
136,38,Female,Headset,Gadgets,491,Germany,L,,,1.2,,Express,Yes,,19,Card,Very High,,Mobile,13,
137,39,M,Shoes ,Gadgets,1196,Germany,M,Blue,Winter,2.0,Yes,Same Day,TRUE,WELCOME,16,,Medium,,mobile,8,Excellent
138,52,F,Shoes,Gadgets,941,,m,White,Spring,1.0,Inactive,Pickup,FALSE,WELCOME,16,card,,VIP,Mobile,8,Excellent
139,50,Female,Shoes ,Clothing,410,,XXL,Green,Spring,1.8,Inactive,,No,PROMO10,43,Card,High,New,,-1,Late delivery
140,59,M,Headset,Accessories,467,,,,Autumn,2.6,,Same Day,,PROMO10,4,Crypto,Medium,VIP,mobile,4,Bad
141,55,Other,Shirt,Electronics,136,India,L,Blue,Winter,4.0,Yes,Express,FALSE,,46,Cash,High,VIP,,1,Bad
142,37,F,Shirt,Electronics,510,,XXL,Green,Winter,5.0,Yes,Same Day,TRUE,PROMO10,49,Crypto,Medium,New,Mobile,3,Will buy again
143,42,F,Watch,Clothing,637,China,XXL,red,Spring,1.8,,,,PROMO10,15,card,Very High,Churn Risk,Mobile,-2,Good
144,50,Other,Bag,,240,China,M,Black,Spring,3.8,,Pickup,FALSE,,0,card,Low,VIP,Desktop,2,Late delivery
145,16,Male,Shoes,Electronics,27,Germany,S,Red,Spring,2.4,Inactive,Same Day,FALSE,NONE,39,Crypto,Very High,Churn Risk,Mobile,14,Late delivery
146,50,M,Shoes ,Electronics,618,,XXL,Green,Autumn,4.4,Inactive,Same Day,TRUE,PROMO10,39,Cash,Very High,Churn Risk,,-2,
147,52,Other,Headset,Accessories,1160,China,XL,red,,2.3,No,Same Day,No,PROMO10,19,Cash,Medium,,,-2,
148,62,F,Laptop,Clothing,456,India,M,Black,Autumn,2.2,Yes,Pickup,TRUE,WELCOME,1,Transfer,Low,VIP,Tablet,14,Good
149,29,M,Shoes,Clothing,278,China,M,White,Harmattan,3.1,No,Express,No,,3,,Medium,New,Tablet,1,Excellent
150,18,M,Shirt,Gadgets,1029,,,Black,Summer,5.0,Active,Express,Yes,,35,Transfer,Very High,,mobile,12,Good
151,16,Male,shirt,Electronics,1572,India,XL,Black,Winter,2.4,Inactive,,,WELCOME,30,Transfer,High,Churn Risk,,6,Late delivery
152,20,F,Laptop,Fashion,665,,M,,Winter,1.8,Inactive,Same Day,,PROMO10,36,Cash,High,New,,4,
153,41,Female,Bag,,170,China,XXL,Red,Summer,3.8,Active,Standard,FALSE,NONE,9,Card,Medium,,Desktop,7,Good
154,29,Male,Shoes ,Accessories,414,USA,L,Black,,4.6,Inactive,Same Day,FALSE,PROMO10,22,Transfer,High,,Tablet,-2,
155,54,Male,Laptop,Accessories,301,UK,S,red,Spring,4.3,,Pickup,TRUE,,49,Transfer,High,New,Tablet,7,
156,42,Female,Headset,,1717,France,m,Black,,4.5,,Express,No,NONE,46,card,Medium,Returning,Desktop,11,Late delivery
157,24,Female,Phone,,1881,France,,Red,,1.1,No,Express,TRUE,WELCOME,39,Cash,High,,Tablet,-2,Late delivery
158,30,Male,Phone,Fashion,1121,India,,White,Winter,1.3,Yes,Express,Yes,NONE,13,Cash,,,Mobile,9,Late delivery
159,30,M,Watch,Gadgets,1657,USA,L,Blue,Winter,4.2,,Standard,Yes,,45,Transfer,Low,,Desktop,2,Bad
160,41,Other,Laptop,Fashion,941,Nigeria,M,Green,Spring,2.7,,Same Day,No,,4,Crypto,,,Tablet,9,
161,57,Other,Shirt,,1007,Germany,XL,,Winter,2.8,No,,TRUE,NONE,25,Cash,High,,Desktop,11,Good
162,28,Male,Watch,,100,USA,M,Green,,2.6,Active,Express,FALSE,NONE,25,Crypto,High,,,11,
163,66,M,Phone,Fashion,575,,M,Black,Autumn,1.7,Active,Express,,PROMO10,23,Transfer,High,Churn Risk,Mobile,7,
164,47,Female,Bag,Gadgets,904,UK,,Blue,Summer,4.8,,Same Day,TRUE,SALE20,8,Transfer,Medium,,,5,
165,54,,Laptop,Fashion,145,USA,M,Blue,Autumn,3.9,,,No,WELCOME,49,Crypto,,Churn Risk,Mobile,11,Good
166,64,Male,Bag,Gadgets,1345,India,m,Black,Autumn,2.3,Yes,,TRUE,SALE20,46,,Very High,Returning,Mobile,8,Late delivery
167,67,F,Bag,,567,France,S,,Winter,3.4,,Express,TRUE,PROMO10,46,card,High,New,Desktop,-2,Late delivery
168,47,M,Laptop,,1959,China,M,,Autumn,3.1,Inactive,Same Day,Yes,NONE,49,Crypto,Low,,Tablet,3,
169,19,F,Shirt,,1018,,M,Green,Harmattan,2.9,Active,Standard,TRUE,,32,,High,VIP,Desktop,14,Bad
170,45,F,Laptop,Electronics,771,UK,m,Green,Autumn,4.9,Yes,Express,FALSE,WELCOME,46,Cash,Very High,Returning,,0,
171,52,Male,,Gadgets,1631,China,M,red,Winter,2.8,Active,Express,TRUE,,32,Crypto,High,,mobile,9,Will buy again
172,38,M,Shirt,,837,Canada,XL,red,Spring,3.5,Yes,Pickup,Yes,,20,card,High,Returning,Mobile,8,
173,54,F,,Clothing,1333,USA,XXL,,Spring,2.0,,Standard,TRUE,WELCOME,42,card,,Returning,Desktop,8,Bad
174,60,M,Shoes ,Clothing,181,Canada,m,Blue,,2.5,,,Yes,PROMO10,11,Cash,High,Churn Risk,Tablet,1,Will buy again
175,30,Other,,Fashion,619,Canada,M,Blue,Winter,3.3,Active,Pickup,FALSE,,18,card,Very High,Returning,Desktop,11,
176,58,,Phone,Clothing,658,China,M,Black,Autumn,4.7,No,Same Day,,WELCOME,23,,Very High,VIP,,-2,Will buy again
177,44,F,Headset,Gadgets,425,China,m,Green,Summer,4.9,Active,Express,TRUE,PROMO10,14,,,New,mobile,11,Good
178,51,F,Laptop,Electronics,34,India,,Green,Autumn,4.2,Yes,Standard,No,WELCOME,30,,High,New,Desktop,10,Bad
179,28,M,,Gadgets,146,Canada,M,Black,Autumn,4.3,No,,Yes,SALE20,7,Transfer,Low,VIP,Desktop,2,
180,47,,Watch,Accessories,1743,USA,S,Black,Summer,1.5,Active,Pickup,Yes,NONE,6,Crypto,Low,VIP,Desktop,14,Late delivery
181,22,Other,,Fashion,227,Nigeria,XL,White,Autumn,4.6,No,Pickup,FALSE,SALE20,38,,,VIP,Desktop,1,Will buy again
182,66,F,Laptop,,1533,USA,L,Blue,Autumn,4.8,No,,TRUE,SALE20,39,card,,Returning,Desktop,-2,Bad
183,37,Male,Watch,Electronics,864,USA,m,Blue,Harmattan,1.9,,Express,Yes,PROMO10,5,Crypto,Medium,,Desktop,9,Will buy again
184,43,M,Shoes,Fashion,1951,UK,XXL,Blue,Harmattan,3.0,,Standard,Yes,SALE20,47,Card,Low,Churn Risk,Desktop,-1,
185,17,M,Watch,Accessories,834,Germany,M,Red,,2.6,Inactive,Standard,,SALE20,25,Transfer,High,Returning,Mobile,6,
186,57,F,Watch,Clothing,515,Nigeria,L,Red,Winter,4.0,No,Pickup,,PROMO10,0,,Medium,Returning,Tablet,3,Excellent
187,60,Other,Shirt,Accessories,1031,Germany,L,red,Autumn,1.6,Inactive,,No,WELCOME,40,Card,,,Desktop,8,
188,68,F,,Clothing,1482,India,S,Black,,3.9,Inactive,,,,9,Cash,Low,VIP,mobile,-1,Will buy again
189,21,Female,,Fashion,1579,Nigeria,S,White,Spring,4.4,Yes,,TRUE,SALE20,14,Crypto,Very High,Churn Risk,Tablet,13,Good
190,43,F,shirt,Fashion,1303,Canada,,,Spring,1.5,Active,Same Day,Yes,,0,Cash,Very High,New,Mobile,11,Bad
191,43,,Watch,,1389,USA,m,,Winter,1.9,Inactive,Express,,SALE20,33,Card,High,Churn Risk,mobile,13,Bad
192,59,,Headset,,102,China,L,Red,Harmattan,1.5,Inactive,Same Day,Yes,,26,Crypto,Low,New,mobile,8,
193,59,Female,Shirt,Fashion,992,USA,M,Blue,Winter,4.2,Inactive,Express,FALSE,PROMO10,36,,,Returning,Tablet,10,Good
194,35,,Shirt,,464,Nigeria,XXL,,Winter,1.1,Inactive,Pickup,TRUE,WELCOME,26,Cash,Very High,VIP,Mobile,1,Late delivery
195,45,,Shirt,Gadgets,1156,USA,,White,Spring,4.6,No,Standard,No,,24,,Low,VIP,Mobile,9,
196,26,Male,,Electronics,1195,Canada,M,Green,Harmattan,3.1,Active,Express,FALSE,NONE,20,Transfer,,VIP,mobile,11,Good
197,43,M,shirt,Gadgets,270,Germany,XL,Black,Harmattan,1.9,Yes,Express,TRUE,WELCOME,2,card,Low,VIP,Desktop,7,Will buy again
198,40,,Bag,Accessories,1016,USA,XL,Red,Autumn,1.6,Yes,Same Day,No,NONE,18,card,Very High,Churn Risk,mobile,3,Excellent
