Customer_ID,Age,Gender,Item_Purchased,Category,Purchase_Amount_USD,Location,Size,Color,Season,Review_Rating,Subscription_Status,Shipping_Type,Discount_Applied,Promo_Code_Used,Previous_Purchases,Payment_Method,Frequency_of_Purchases,Customer_Segment,Device_Used,Delivery_Delay_Days,Customer_Satisfaction_Comment,Age_Group,Frequency
22,39,M,shirt,Accessories,1994.0,Germany,XL,Green,Summer,4.2,,Standard,No,,34.0,Transfer,Low,Churn Risk,Desktop,3.0,Excellent,21-40,1
23,59,,Shoes ,Gadgets,1523.0,,L,Blue,Spring,3.7,,Pickup,Yes,NONE,4.0,Cash,Low,Churn Risk,,7.0,,61-80,1
24,45,Other,Shoes,Clothing,1111.0,Nigeria,XXL,Green,Autumn,2.5,,Pickup,Yes,PROMO10,43.0,card,Medium,Churn Risk,,0.0,Excellent,41-60,1
25,53,Male,Shirt,Clothing,1747.0,Nigeria,XXL,,Harmattan,3.9,Yes,Pickup,No,WELCOME,34.0,Card,Medium,New,Tablet,1.0,,41-60,1
26,17,Male,Laptop,Gadgets,1707.0,,XL,White,Harmattan,4.9,Inactive,Same Day,TRUE,WELCOME,26.0,card,Low,Churn Risk,Tablet,12.0,,0-20,1
27,36,Male,Shoes,Electronics,649.0,India,S,Green,Winter,3.4,,Standard,No,SALE20,8.0,Crypto,Low,VIP,Tablet,14.0,Will buy again,21-40,1
28,48,M,Shirt,Gadgets,83.0,Canada,S,Black,Summer,4.0,Active,Standard,Yes,SALE20,43.0,Transfer,,VIP,mobile,13.0,,41-60,1
29,27,M,Phone,Electronics,1336.0,Nigeria,XXL,red,Autumn,1.9,No,Standard,TRUE,,12.0,Transfer,,New,Mobile,1.0,Excellent,0-20,1
30,37,Male,Shoes ,Gadgets,625.0,France,XL,Blue,Harmattan,3.6,Inactive,Pickup,TRUE,NONE,15.0,Cash,Very High,Returning,Tablet,10.0,,21-40,1
31,59,,Watch,Clothing,1054.0,,M,Red,Winter,1.1,,Standard,TRUE,WELCOME,21.0,Cash,Low,New,Tablet,10.0,Excellent,61-80,1
32,40,Female,Watch,,,France,m,Green,Winter,4.3,,Express,TRUE,SALE20,41.0,,High,New,Desktop,10.0,Will buy again,21-40,1
33,64,Female,Laptop,Clothing,689.0,Germany,M,Green,Summer,1.9,No,,No,NONE,17.0,Card,Medium,Churn Risk,Tablet,13.0,Late delivery,61-80,1
34,42,Other,Shirt,Gadgets,849.0,Nigeria,S,Red,Harmattan,1.3,Yes,Same Day,TRUE,SALE20,28.0,,Very High,VIP,Mobile,5.0,,21-40,1
35,57,F,Bag,Fashion,1571.0,,L,Blue,Harmattan,1.7,Yes,,TRUE,,30.0,Transfer,Low,New,mobile,13.0,,61-80,1
36,43,Other,Watch,Electronics,465.0,,m,Red,Autumn,2.9,No,,Yes,SALE20,20.0,Card,Low,,,14.0,Will buy again,21-40,1
37,31,Male,Watch,Fashion,1179.0,Nigeria,,Green,,1.2,Yes,Express,,WELCOME,18.0,Cash,,VIP,,-1.0,,21-40,1
38,30,Male,Phone,Clothing,1068.0,Canada,XXL,Red,Summer,1.1,Active,Standard,No,PROMO10,39.0,Crypto,Low,Churn Risk,Tablet,-2.0,Excellent,21-40,1
39,62,Male,Watch,Electronics,804.0,Nigeria,S,Red,,3.0,No,Express,,SALE20,47.0,card,High,,mobile,8.0,Bad,61-80,1
40,66,F,Watch,,,Canada,m,Green,Summer,3.3,,Pickup,Yes,NONE,35.0,card,,VIP,Desktop,6.0,Excellent,61-80,1
41,59,M,Shoes,Gadgets,776.0,India,L,Blue,Spring,2.3,,,TRUE,NONE,32.0,,,,Tablet,13.0,,61-80,1
42,67,F,Watch,Electronics,1621.0,China,L,White,Harmattan,1.1,Active,Pickup,No,WELCOME,36.0,Card,Medium,New,Tablet,4.0,Late delivery,61-80,1
43,18,Other,Phone,Electronics,1368.0,UK,,Blue,Spring,2.8,,Pickup,TRUE,,42.0,Cash,Low,Churn Risk,mobile,2.0,,0-20,1
44,52,M,Shoes ,Accessories,178.0,UK,,White,Autumn,4.7,Active,,,NONE,10.0,Crypto,Medium,,Desktop,13.0,Bad,41-60,1
45,66,M,shirt,,,Germany,,Green,Winter,2.9,Inactive,Same Day,Yes,PROMO10,14.0,,Low,Returning,Mobile,5.0,Will buy again,61-80,1
46,22,Other,Watch,Electronics,558.0,France,XXL,Green,Summer,2.8,No,Standard,TRUE,,19.0,Crypto,Medium,Churn Risk,Tablet,1.0,Late delivery,0-20,1
47,36,M,,,,UK,L,,Harmattan,3.2,No,Same Day,Yes,NONE,28.0,Transfer,,Churn Risk,Mobile,3.0,Late delivery,21-40,1
48,24,Female,Laptop,Clothing,171.0,France,,,Spring,1.7,Active,Pickup,Yes,NONE,47.0,Transfer,Medium,New,Desktop,3.0,Will buy again,0-20,1
49,54,Other,Bag,,,India,L,White,Winter,4.2,Inactive,,,SALE20,28.0,Transfer,Low,Churn Risk,,7.0,Good,41-60,1
50,33,Other,,Fashion,1643.0,France,m,Green,Autumn,1.1,,Pickup,No,NONE,7.0,Cash,High,New,Mobile,11.0,,21-40,1
51,19,Female,Shoes,Fashion,444.0,France,XXL,Green,Harmattan,1.2,,,No,NONE,27.0,Cash,,Churn Risk,,-2.0,,0-20,1
52,40,F,Headset,,,USA,m,White,Harmattan,1.2,No,Express,Yes,PROMO10,18.0,,Very High,VIP,Desktop,0.0,,21-40,1
53,29,F,Phone,Gadgets,1706.0,Canada,XL,,Summer,4.2,Yes,,FALSE,PROMO10,31.0,,Low,New,,2.0,Good,0-20,1
54,65,F,Laptop,Accessories,1558.0,Nigeria,m,,Summer,2.5,Yes,Standard,FALSE,SALE20,18.0,Transfer,Medium,Returning,,8.0,Excellent,61-80,1
55,24,M,shirt,Fashion,518.0,Germany,M,Red,Spring,3.6,,Same Day,,WELCOME,0.0,Crypto,Very High,VIP,Tablet,1.0,Late delivery,0-20,1
56,41,Female,Headset,Fashion,1645.0,UK,XL,red,Spring,1.3,Yes,,FALSE,PROMO10,21.0,Crypto,,Returning,Tablet,14.0,Good,21-40,1
57,68,Other,,Electronics,1130.0,UK,M,Blue,Autumn,4.1,Yes,,FALSE,NONE,15.0,Card,Very High,Churn Risk,,1.0,Bad,61-80,1
58,17,Other,Shoes ,,,Canada,M,Blue,Winter,2.3,Yes,Standard,No,,18.0,Card,,VIP,Desktop,10.0,,0-20,1
59,35,Other,Laptop,Clothing,1749.0,,XXL,,Autumn,1.9,Active,Express,Yes,SALE20,28.0,card,High,,,5.0,Excellent,21-40,1
60,43,M,,,,France,XL,Black,Harmattan,3.9,Inactive,Express,FALSE,WELCOME,44.0,Crypto,,,Tablet,4.0,Good,21-40,1
61,62,M,,,,China,,Green,Spring,1.3,,Standard,TRUE,PROMO10,18.0,Crypto,Medium,Churn Risk,Tablet,14.0,Late delivery,61-80,1
62,22,,Shoes ,Clothing,495.0,Germany,m,Red,,2.9,No,Standard,No,NONE,34.0,Cash,,Returning,mobile,10.0,Excellent,0-20,1
63,59,F,Laptop,Gadgets,1244.0,France,XXL,Red,Autumn,2.5,Yes,Pickup,,NONE,22.0,Transfer,,,Desktop,-1.0,Excellent,61-80,1
64,23,,Shoes,Clothing,1800.0,UK,m,Green,Autumn,4.0,Inactive,Pickup,,,40.0,Cash,Medium,Churn Risk,Desktop,12.0,,0-20,1
65,62,,Shoes ,Fashion,1547.0,India,XL,Blue,Summer,3.6,Inactive,Express,TRUE,NONE,3.0,Transfer,,Churn Risk,mobile,9.0,Good,61-80,1
66,50,M,Shoes,Electronics,1747.0,,L,Black,Autumn,4.6,Inactive,Same Day,No,WELCOME,10.0,Cash,High,Returning,Tablet,-2.0,Excellent,41-60,1
67,29,F,Bag,Clothing,1597.0,,m,Black,Winter,3.9,Inactive,,,PROMO10,22.0,Crypto,High,Churn Risk,Desktop,8.0,Bad,0-20,1
68,32,F,Headset,Accessories,546.0,India,S,,Autumn,2.7,Inactive,Express,Yes,NONE,6.0,Transfer,Medium,,Tablet,12.0,,21-40,1
69,51,Other,Bag,Accessories,255.0,UK,XL,Black,Winter,1.7,Active,Same Day,,SALE20,47.0,Crypto,High,VIP,Mobile,3.0,Excellent,41-60,1
70,65,M,Shoes ,Accessories,1761.0,Germany,XL,White,Winter,2.8,,Same Day,FALSE,PROMO10,22.0,Transfer,,,Desktop,7.0,,61-80,1
71,55,F,Phone,Clothing,757.0,,,red,,1.7,Active,Standard,TRUE,SALE20,26.0,Crypto,High,VIP,,9.0,Will buy again,41-60,1
72,19,,Bag,Electronics,688.0,,L,White,Harmattan,1.5,Inactive,Express,FALSE,,2.0,Crypto,,VIP,Mobile,-2.0,,0-20,1
73,17,Female,Phone,Clothing,249.0,UK,,Green,Autumn,1.2,No,Pickup,TRUE,WELCOME,4.0,Crypto,,VIP,mobile,-2.0,Late delivery,0-20,1
74,21,Female,Phone,Fashion,1233.0,Germany,L,Black,Spring,3.2,Active,,TRUE,NONE,38.0,Crypto,,Returning,,5.0,Late delivery,0-20,1
75,69,M,Shoes ,Clothing,492.0,Nigeria,,,Harmattan,3.3,Yes,Same Day,FALSE,PROMO10,1.0,Crypto,Low,New,Mobile,2.0,Bad,61-80,1
76,57,Other,shirt,,,India,M,,Summer,3.6,Active,Same Day,,,47.0,Crypto,High,,Desktop,5.0,,61-80,1
77,19,Other,Watch,Accessories,1953.0,USA,S,Red,Autumn,4.5,Yes,,Yes,PROMO10,41.0,Card,Low,Returning,Desktop,7.0,Excellent,0-20,1
78,69,F,,Accessories,1886.0,France,S,White,Harmattan,4.7,Inactive,Pickup,TRUE,NONE,31.0,Crypto,High,,mobile,6.0,Good,61-80,1
79,44,M,Bag,,,France,S,,Summer,2.4,No,Express,FALSE,NONE,31.0,card,,Churn Risk,,10.0,Bad,41-60,1
80,33,Female,Shirt,Electronics,1127.0,India,m,White,,3.5,Inactive,,TRUE,PROMO10,9.0,,High,VIP,Desktop,13.0,,21-40,1
81,41,,Bag,Gadgets,373.0,UK,XL,Green,Harmattan,2.8,No,Standard,No,NONE,17.0,Crypto,Medium,VIP,Desktop,-1.0,Good,21-40,1
82,59,F,shirt,Accessories,1972.0,China,XL,red,Harmattan,4.0,,Standard,No,WELCOME,36.0,card,,,mobile,7.0,Bad,61-80,1
83,49,,Headset,Accessories,1943.0,Germany,XXL,White,Harmattan,3.9,,Same Day,FALSE,SALE20,44.0,Card,Very High,Returning,Tablet,11.0,,41-60,1
84,25,F,shirt,Gadgets,963.0,Canada,M,,,1.8,,Express,Yes,PROMO10,3.0,Transfer,,Returning,Mobile,4.0,Good,0-20,1
85,51,Male,Watch,Clothing,262.0,,L,Green,Winter,1.7,Active,Express,FALSE,PROMO10,34.0,card,Low,,mobile,0.0,,41-60,1
86,29,,Shoes ,Accessories,505.0,,L,Red,Autumn,1.5,Inactive,Express,FALSE,,42.0,Transfer,Very High,New,mobile,6.0,Excellent,0-20,1
87,46,M,,Electronics,658.0,USA,L,,Summer,1.5,Yes,Pickup,Yes,SALE20,10.0,,Medium,Churn Risk,Tablet,1.0,Excellent,41-60,1
88,63,,shirt,Clothing,724.0,Nigeria,XXL,,,2.0,Yes,Pickup,FALSE,SALE20,21.0,Crypto,High,Churn Risk,mobile,5.0,,61-80,1
89,30,,Bag,Clothing,1653.0,UK,XXL,Green,Autumn,2.4,No,Standard,FALSE,,18.0,Crypto,,,Desktop,13.0,Excellent,21-40,1
90,23,F,Headset,Accessories,1640.0,China,XL,Black,,3.5,No,,,SALE20,42.0,card,Low,VIP,Tablet,5.0,Excellent,0-20,1
91,29,Female,shirt,Clothing,1132.0,Canada,XXL,White,Harmattan,4.0,Yes,Express,FALSE,SALE20,27.0,Cash,Medium,New,mobile,3.0,Will buy again,0-20,1
92,38,Male,Shirt,Clothing,483.0,Germany,XXL,Blue,Winter,1.6,Yes,Standard,TRUE,WELCOME,0.0,Card,Medium,VIP,,14.0,,21-40,1
93,55,,Headset,Electronics,244.0,Germany,L,Green,Spring,2.0,No,Standard,TRUE,WELCOME,44.0,card,Medium,VIP,,-2.0,,41-60,1
94,36,Female,Phone,Clothing,372.0,USA,m,Red,Harmattan,3.4,Active,Express,,SALE20,17.0,Card,,New,,3.0,Late delivery,21-40,1
95,31,Other,Shoes ,,,Nigeria,m,Black,Spring,4.0,Active,,TRUE,PROMO10,24.0,Cash,Low,Churn Risk,,7.0,,21-40,1
96,60,Male,Laptop,Accessories,1319.0,China,XXL,Green,Winter,4.3,No,,,WELCOME,43.0,Card,Low,New,Tablet,2.0,Late delivery,61-80,1
97,33,Male,Shoes,Accessories,986.0,Germany,,Black,Winter,2.5,Active,,TRUE,,30.0,Crypto,High,New,mobile,14.0,,21-40,1
98,62,F,,,,USA,,,Spring,2.8,Inactive,Pickup,,PROMO10,48.0,Card,Medium,Returning,Desktop,2.0,Excellent,61-80,1
99,68,,Shoes ,,,India,M,,Winter,3.7,Yes,,FALSE,PROMO10,33.0,,,Churn Risk,mobile,0.0,,61-80,1
100,39,Other,Watch,,,USA,,Red,Spring,2.1,Active,Same Day,Yes,NONE,26.0,card,Low,New,Tablet,4.0,Late delivery,21-40,1
101,41,F,Shoes ,Gadgets,1526.0,France,XXL,,Winter,1.3,,Express,,PROMO10,40.0,,High,Returning,Mobile,4.0,,21-40,1
102,40,M,Bag,Fashion,598.0,,,,Spring,2.8,,Express,TRUE,PROMO10,21.0,,Very High,New,Mobile,4.0,Bad,21-40,1
103,60,Female,Shoes ,Gadgets,292.0,Canada,m,Black,Spring,4.9,No,Standard,Yes,NONE,39.0,Card,,Returning,Mobile,2.0,Will buy again,61-80,1
104,56,Female,Shoes ,Electronics,1691.0,Germany,m,,,2.5,,Standard,TRUE,SALE20,39.0,Transfer,High,New,,9.0,,41-60,1
105,44,F,Shoes,Electronics,138.0,Nigeria,S,,Autumn,2.2,No,Express,FALSE,SALE20,12.0,Transfer,,New,Desktop,8.0,Good,41-60,1
106,30,Female,Laptop,Accessories,1825.0,Nigeria,XXL,Red,Winter,4.3,Active,,FALSE,,18.0,Transfer,High,Churn Risk,mobile,10.0,,21-40,1
107,60,,Headset,Fashion,1859.0,,XL,White,Autumn,4.7,,,,WELCOME,24.0,card,,VIP,mobile,11.0,,61-80,1
108,16,Female,Shoes,Gadgets,1482.0,Germany,M,Black,Autumn,4.1,Yes,Standard,,NONE,34.0,Cash,,Returning,Tablet,2.0,Late delivery,0-20,1
109,40,,Bag,Fashion,229.0,UK,XXL,Blue,Spring,3.1,No,Same Day,Yes,SALE20,20.0,card,Medium,Churn Risk,Tablet,11.0,Will buy again,21-40,1
110,22,M,Bag,Accessories,641.0,USA,XL,Blue,Harmattan,4.6,,Same Day,No,NONE,1.0,Card,,Churn Risk,mobile,6.0,Good,0-20,1
111,24,Other,Watch,Clothing,612.0,India,m,Blue,,3.4,,Standard,TRUE,WELCOME,15.0,Card,Medium,Returning,Mobile,12.0,Good,0-20,1
112,39,Male,Phone,Accessories,853.0,Canada,M,Green,,2.2,Active,Same Day,TRUE,PROMO10,20.0,Crypto,Medium,,Desktop,9.0,Will buy again,21-40,1
113,16,F,Headset,Accessories,904.0,UK,XXL,White,Spring,4.7,No,Same Day,No,NONE,18.0,,Medium,New,Tablet,10.0,Bad,0-20,1
114,59,F,Bag,Fashion,1780.0,USA,,White,Winter,3.6,Yes,Standard,No,SALE20,21.0,Cash,,New,Mobile,6.0,Bad,61-80,1
115,23,,Shoes,Electronics,830.0,Canada,M,Red,Spring,1.5,Yes,Express,No,WELCOME,1.0,Cash,Very High,VIP,Tablet,1.0,,0-20,1
116,39,M,Bag,Clothing,1955.0,,m,Red,Summer,2.3,Inactive,Standard,TRUE,PROMO10,22.0,Crypto,Very High,Churn Risk,Desktop,1.0,Excellent,21-40,1
117,26,M,Shoes ,Clothing,922.0,India,m,Green,Winter,3.6,,,Yes,NONE,19.0,Card,High,Returning,Tablet,6.0,,0-20,1
118,66,Male,Phone,Electronics,415.0,Nigeria,S,,Harmattan,4.3,No,Pickup,Yes,NONE,23.0,card,Medium,Churn Risk,mobile,3.0,,61-80,1
119,32,Other,Bag,Fashion,378.0,UK,L,red,Summer,5.0,Inactive,Same Day,FALSE,WELCOME,26.0,card,Medium,Churn Risk,,8.0,,21-40,1
120,23,F,Shoes ,Fashion,89.0,Germany,XXL,red,Spring,1.8,Yes,Standard,TRUE,WELCOME,9.0,card,Very High,VIP,mobile,13.0,,0-20,1
121,50,,Watch,Electronics,88.0,India,M,Black,Spring,4.2,Yes,Standard,,,16.0,,High,Churn Risk,,13.0,,41-60,1
122,50,M,Bag,Gadgets,486.0,Germany,XL,Green,Harmattan,1.5,No,Standard,TRUE,PROMO10,1.0,Transfer,High,Churn Risk,Desktop,5.0,Excellent,41-60,1
123,48,F,Phone,Fashion,1371.0,,S,,Spring,3.7,Yes,Pickup,,NONE,37.0,Cash,Very High,Returning,Tablet,-1.0,Late delivery,41-60,1
124,20,,Shoes,Electronics,276.0,India,L,Blue,Harmattan,1.4,No,Same Day,TRUE,,30.0,,High,,Tablet,14.0,Bad,0-20,1
125,57,Female,Watch,Gadgets,10.0,Nigeria,XL,White,Summer,3.2,Active,,FALSE,,36.0,Card,Medium,New,mobile,11.0,Excellent,61-80,1
126,54,F,shirt,Accessories,1492.0,France,S,Red,Harmattan,3.1,Inactive,Express,TRUE,,29.0,,Medium,New,,4.0,Good,41-60,1
127,56,Other,Headset,Clothing,523.0,USA,XXL,,Harmattan,4.6,No,,TRUE,SALE20,16.0,Crypto,High,Churn Risk,,14.0,,41-60,1
128,43,,Shoes ,Electronics,18.0,France,XL,red,Winter,3.1,Inactive,Standard,No,,36.0,Crypto,Very High,VIP,,9.0,Excellent,21-40,1
129,22,Other,Watch,Fashion,1031.0,UK,,red,,3.9,,Standard,,PROMO10,20.0,,High,Churn Risk,Mobile,-1.0,Will buy again,0-20,1
130,24,F,Phone,Clothing,1765.0,USA,M,Red,Autumn,4.5,,,Yes,PROMO10,18.0,Crypto,High,,Tablet,0.0,Excellent,0-20,1
131,23,Female,Watch,Gadgets,821.0,UK,m,White,Winter,1.6,Yes,Express,No,,44.0,Card,Medium,,,2.0,,0-20,1
132,27,Other,Headset,Clothing,1832.0,Canada,S,red,Autumn,1.5,No,Standard,FALSE,WELCOME,23.0,Crypto,Medium,Returning,Mobile,14.0,Late delivery,0-20,1
133,49,M,shirt,,,Nigeria,S,Blue,Summer,1.5,Active,,Yes,,17.0,Transfer,,,Mobile,14.0,Bad,41-60,1
134,48,,Shoes ,Electronics,801.0,Canada,XXL,,Summer,2.3,Yes,Standard,TRUE,SALE20,9.0,Crypto,High,Churn Risk,Tablet,8.0,Bad,41-60,1
135,63,F,Phone,Accessories,1416.0,France,S,Blue,Spring,2.6,No,,Yes,,2.0,Transfer,Medium,,Mobile,4.0,,61-80,1
136,38,Female,Headset,Gadgets,491.0,Germany,L,,,1.2,,Express,Yes,,19.0,Card,Very High,,Mobile,13.0,,21-40,1
137,39,M,Shoes ,Gadgets,1196.0,Germany,M,Blue,Winter,2.0,Yes,Same Day,TRUE,WELCOME,16.0,,Medium,,mobile,8.0,Excellent,21-40,1
138,52,F,Shoes,Gadgets,941.0,,m,White,Spring,1.0,Inactive,Pickup,FALSE,WELCOME,16.0,card,,VIP,Mobile,8.0,Excellent,41-60,1
139,50,Female,Shoes ,Clothing,410.0,,XXL,Green,Spring,1.8,Inactive,,No,PROMO10,43.0,Card,High,New,,-1.0,Late delivery,41-60,1
140,59,M,Headset,Accessories,467.0,,,,Autumn,2.6,,Same Day,,PROMO10,4.0,Crypto,Medium,VIP,mobile,4.0,Bad,61-80,1
141,55,Other,Shirt,Electronics,136.0,India,L,Blue,Winter,4.0,Yes,Express,FALSE,,46.0,Cash,High,VIP,,1.0,Bad,41-60,1
142,37,F,Shirt,Electronics,510.0,,XXL,Green,Winter,5.0,Yes,Same Day,TRUE,PROMO10,49.0,Crypto,Medium,New,Mobile,3.0,Will buy again,21-40,1
143,42,F,Watch,Clothing,637.0,China,XXL,red,Spring,1.8,,,,PROMO10,15.0,card,Very High,Churn Risk,Mobile,-2.0,Good,21-40,1
144,50,Other,Bag,,,China,M,Black,Spring,3.8,,Pickup,FALSE,,0.0,card,Low,VIP,Desktop,2.0,Late delivery,41-60,1
145,16,Male,Shoes,Electronics,27.0,Germany,S,Red,Spring,2.4,Inactive,Same Day,FALSE,NONE,39.0,Crypto,Very High,Churn Risk,Mobile,14.0,Late delivery,0-20,1
146,50,M,Shoes ,Electronics,618.0,,XXL,Green,Autumn,4.4,Inactive,Same Day,TRUE,PROMO10,39.0,Cash,Very High,Churn Risk,,-2.0,,41-60,1
147,52,Other,Headset,Accessories,1160.0,China,XL,red,,2.3,No,Same Day,No,PROMO10,19.0,Cash,Medium,,,-2.0,,41-60,1
148,62,F,Laptop,Clothing,456.0,India,M,Black,Autumn,2.2,Yes,Pickup,TRUE,WELCOME,1.0,Transfer,Low,VIP,Tablet,14.0,Good,61-80,1
149,29,M,Shoes,Clothing,278.0,China,M,White,Harmattan,3.1,No,Express,No,,3.0,,Medium,New,Tablet,1.0,Excellent,0-20,1
150,18,M,Shirt,Gadgets,1029.0,,,Black,Summer,5.0,Active,Express,Yes,,35.0,Transfer,Very High,,mobile,12.0,Good,0-20,1
151,16,Male,shirt,Electronics,1572.0,India,XL,Black,Winter,2.4,Inactive,,,WELCOME,30.0,Transfer,High,Churn Risk,,6.0,Late delivery,0-20,1
152,20,F,Laptop,Fashion,665.0,,M,,Winter,1.8,Inactive,Same Day,,PROMO10,36.0,Cash,High,New,,4.0,,0-20,1
153,41,Female,Bag,,,China,XXL,Red,Summer,3.8,Active,Standard,FALSE,NONE,9.0,Card,Medium,,Desktop,7.0,Good,21-40,1
154,29,Male,Shoes ,Accessories,414.0,USA,L,Black,,4.6,Inactive,Same Day,FALSE,PROMO10,22.0,Transfer,High,,Tablet,-2.0,,0-20,1
155,54,Male,Laptop,Accessories,301.0,UK,S,red,Spring,4.3,,Pickup,TRUE,,49.0,Transfer,High,New,Tablet,7.0,,41-60,1
156,42,Female,Headset,,,France,m,Black,,4.5,,Express,No,NONE,46.0,card,Medium,Returning,Desktop,11.0,Late delivery,21-40,1
157,24,Female,Phone,,,France,,Red,,1.1,No,Express,TRUE,WELCOME,39.0,Cash,High,,Tablet,-2.0,Late delivery,0-20,1
158,30,Male,Phone,Fashion,1121.0,India,,White,Winter,1.3,Yes,Express,Yes,NONE,13.0,Cash,,,Mobile,9.0,Late delivery,21-40,1
159,30,M,Watch,Gadgets,1657.0,USA,L,Blue,Winter,4.2,,Standard,Yes,,45.0,Transfer,Low,,Desktop,2.0,Bad,21-40,1
160,41,Other,Laptop,Fashion,941.0,Nigeria,M,Green,Spring,2.7,,Same Day,No,,4.0,Crypto,,,Tablet,9.0,,21-40,1
161,57,Other,Shirt,,,Germany,XL,,Winter,2.8,No,,TRUE,NONE,25.0,Cash,High,,Desktop,11.0,Good,61-80,1
162,28,Male,Watch,,,USA,M,Green,,2.6,Active,Express,FALSE,NONE,25.0,Crypto,High,,,11.0,,0-20,1
163,66,M,Phone,Fashion,575.0,,M,Black,Autumn,1.7,Active,Express,,PROMO10,23.0,Transfer,High,Churn Risk,Mobile,7.0,,61-80,1
164,47,Female,Bag,Gadgets,904.0,UK,,Blue,Summer,4.8,,Same Day,TRUE,SALE20,8.0,Transfer,Medium,,,5.0,,41-60,1
165,54,,Laptop,Fashion,145.0,USA,M,Blue,Autumn,3.9,,,No,WELCOME,49.0,Crypto,,Churn Risk,Mobile,11.0,Good,41-60,1
166,64,Male,Bag,Gadgets,1345.0,India,m,Black,Autumn,2.3,Yes,,TRUE,SALE20,46.0,,Very High,Returning,Mobile,8.0,Late delivery,61-80,1
167,67,F,Bag,,,France,S,,Winter,3.4,,Express,TRUE,PROMO10,46.0,card,High,New,Desktop,-2.0,Late delivery,61-80,1
168,47,M,Laptop,,,China,M,,Autumn,3.1,Inactive,Same Day,Yes,NONE,49.0,Crypto,Low,,Tablet,3.0,,41-60,1
169,19,F,Shirt,,,,M,Green,Harmattan,2.9,Active,Standard,TRUE,,32.0,,High,VIP,Desktop,14.0,Bad,0-20,1
